dateTime,gustPeak,humidity,precipitation,qfePressure,qffPressure,qnhPressure,sunshine,temperature,windDirection,windSpeed
2018-03-03 14:30:00,6.5,92,0.1,959.8,998.1,996.9,0.0,2.0,79,2.9
2018-03-03 14:40:00,6.5,92,0.1,959.9,998.3,997.0,0.0,1.8,90,2.9
2018-03-03 14:40:00,6.5,92,0.1,959.9,998.3,997.0,0.0,1.8,90,2.9
2018-03-03 14:50:00,4.7,91,0.1,960.0,998.4,997.1,0.0,2.0,103,2.9
2018-03-03 15:00:00,6.8,91,0.0,960.0,998.3,997.1,0.0,2.1,105,2.9
2018-03-03 15:10:00,9.7,93,0.1,960.0,998.4,997.1,0.0,2.0,88,5.0
2018-03-03 15:10:00,9.7,93,0.1,960.0,998.4,997.1,0.0,2.0,88,5.0
2018-03-03 15:20:00,10.1,91,0.1,960.0,998.3,997.1,0.0,2.1,106,6.5
2018-03-03 15:30:00,11.2,92,0.1,960.1,998.4,997.2,0.0,2.1,109,7.2
2018-03-03 15:40:00,13.0,92,0.0,960.2,998.6,997.3,0.0,2.1,105,7.2
2018-03-03 15:50:00,18.0,93,0.0,960.2,998.5,997.3,0.0,2.2,106,10.1
2018-03-03 16:00:00,16.2,91,0.0,960.2,998.5,997.3,0.0,2.4,109,10.1
2018-03-03 16:10:00,18.4,92,0.0,960.3,998.6,997.4,0.0,2.5,114,9.7
2018-03-03 16:20:00,19.8,93,0.0,960.3,998.6,997.4,0.0,2.4,108,12.2
2018-03-03 16:30:00,19.8,92,0.0,960.4,998.7,997.5,0.0,2.4,108,12.2
2018-03-03 16:40:00,19.4,93,0.0,960.4,998.7,997.5,0.0,2.4,105,11.5
2018-03-03 17:00:00,18.4,93,0.0,960.5,998.8,997.6,0.0,2.5,107,9.7
2018-03-03 17:10:00,16.6,93,0.0,960.7,999.0,997.8,0.0,2.5,106,8.3
2018-03-03 17:20:00,19.1,94,0.0,960.9,999.2,998.0,0.0,2.5,106,10.8
2018-03-03 17:30:00,15.5,94,0.0,961.0,999.3,998.1,0.0,2.5,110,9.4
2018-03-03 17:40:00,18.7,94,0.0,961.1,999.4,998.2,0.0,2.5,97,10.4
2018-03-03 17:50:00,15.1,94,0.0,961.2,999.5,998.3,0.0,2.5,104,9.0
2018-03-03 18:00:00,17.3,94,0.0,961.4,999.8,998.5,0.0,2.4,104,9.0
2018-03-03 18:10:00,18.0,94,0.0,961.5,999.9,998.6,0.0,2.3,98,11.2
2018-03-03 18:20:00,17.6,93,0.0,961.8,1000.2,998.9,0.0,2.5,86,10.4
2018-03-03 18:30:00,19.1,94,0.0,962.0,1000.4,999.2,0.0,2.3,99,11.9
2018-03-03 18:40:00,19.4,93,0.0,962.0,1000.4,999.2,0.0,2.4,105,10.8
2018-03-03 18:50:00,16.9,93,0.0,962.2,1000.6,999.4,0.0,2.4,108,9.4
2018-03-03 19:00:00,17.3,93,0.0,962.1,1000.5,999.3,0.0,2.4,103,9.7
2018-03-03 19:10:00,17.3,94,0.0,962.3,1000.7,999.5,0.0,2.1,102,10.8
2018-03-03 19:20:00,20.5,94,0.0,962.2,1000.6,999.4,0.0,2.1,104,12.2
2018-03-03 19:30:00,20.9,94,0.0,962.3,1000.7,999.5,0.0,2.1,97,11.5
2018-03-03 19:40:00,20.5,95,0.0,962.4,1000.9,999.6,0.0,2.0,97,10.1
2018-03-03 19:50:00,18.0,93,0.0,962.4,1000.8,999.6,0.0,2.2,93,11.5
2018-03-03 20:00:00,25.9,94,0.0,962.4,1000.8,999.6,0.0,2.1,94,12.6
2018-03-03 20:10:00,25.9,94,0.0,962.4,1000.9,999.6,0.0,2.0,102,12.6
2018-03-03 20:20:00,20.5,94,0.0,962.3,1000.7,999.5,0.0,2.0,97,11.9
2018-03-03 20:30:00,17.3,94,0.0,962.4,1000.9,999.6,0.0,2.0,91,11.2
2018-03-03 20:40:00,13.7,94,0.0,962.8,1001.3,1000.0,0.0,2.1,49,6.8
2018-03-03 20:50:00,14.0,93,0.0,962.7,1001.1,999.9,0.0,2.2,106,8.3
2018-03-03 21:00:00,10.8,94,0.0,962.9,1001.3,1000.1,0.0,2.3,82,6.5
2018-03-03 21:10:00,15.8,94,0.0,962.7,1001.1,999.9,0.0,2.2,99,10.1
2018-03-03 21:20:00,9.4,92,0.0,962.8,1001.2,1000.0,0.0,2.4,161,5.8
2018-03-03 21:30:00,7.6,94,0.0,963.0,1001.5,1000.2,0.0,2.1,250,4.7
2018-03-03 21:40:00,9.0,95,0.0,962.8,1001.3,1000.0,0.0,1.9,121,5.4
2018-03-03 21:50:00,14.0,94,0.0,962.9,1001.4,1000.1,0.0,2.1,106,6.8
2018-03-03 22:00:00,15.5,93,0.0,962.8,1001.3,1000.0,0.0,2.0,115,7.6
2018-03-03 22:10:00,12.6,93,0.0,963.0,1001.5,1000.2,0.0,2.0,105,7.6
2018-03-03 22:20:00,16.6,93,0.0,963.0,1001.5,1000.2,0.0,2.0,109,8.3
2018-03-03 22:30:00,14.0,94,0.0,963.2,1001.7,1000.4,0.0,1.9,91,8.6
2018-03-03 22:40:00,19.1,93,0.0,963.2,1001.7,1000.4,0.0,2.0,95,10.4
2018-03-03 22:50:00,16.9,94,0.0,963.3,1001.8,1000.5,0.0,1.9,97,10.1
2018-03-03 23:00:00,19.1,93,0.0,963.3,1001.8,1000.5,0.0,2.0,100,10.1
2018-03-03 23:10:00,19.4,93,0.0,963.5,1002.0,1000.7,0.0,2.1,99,11.5
2018-03-03 23:20:00,17.3,93,0.0,963.7,1002.2,1000.9,0.0,1.9,103,9.7
2018-03-03 23:30:00,20.9,94,0.0,963.8,1002.3,1001.0,0.0,1.8,102,11.5
2018-03-03 23:40:00,15.5,93,0.0,963.8,1002.3,1001.0,0.0,1.8,105,10.4
2018-03-03 23:50:00,20.2,94,0.0,963.8,1002.3,1001.0,0.0,1.8,110,10.4
2018-03-04 00:00:00,19.8,93,0.0,963.8,1002.3,1001.0,0.0,1.8,105,13.0
2018-03-04 00:10:00,18.7,93,0.0,963.9,1002.4,1001.1,0.0,1.9,105,11.9
2018-03-04 00:20:00,19.4,94,0.0,964.1,1002.7,1001.3,0.0,1.7,102,10.1
2018-03-04 00:30:00,13.7,93,0.0,964.4,1002.9,1001.6,0.0,1.9,97,7.2
2018-03-04 00:40:00,9.4,93,0.0,964.7,1003.2,1001.9,0.0,2.0,100,3.6
2018-03-04 00:50:00,9.7,94,0.1,964.8,1003.4,1002.0,0.0,1.9,83,3.6
2018-03-04 01:00:00,12.6,94,0.0,964.8,1003.3,1002.0,0.0,2.1,98,6.5
2018-03-04 01:10:00,11.9,93,0.0,964.7,1003.2,1001.9,0.0,2.0,99,7.6
2018-03-04 01:20:00,15.5,93,0.0,964.5,1003.0,1001.7,0.0,2.1,111,9.0
2018-03-04 01:30:00,11.2,93,0.0,964.3,1002.8,1001.5,0.0,2.1,118,6.5
2018-03-04 01:40:00,13.7,93,0.0,964.3,1002.8,1001.5,0.0,2.1,133,6.1
2018-03-04 01:50:00,23.0,92,0.0,964.0,1002.5,1001.2,0.0,2.2,107,13.0
2018-03-04 02:00:00,24.5,93,0.0,964.0,1002.5,1001.2,0.0,1.9,102,14.8
